user_id,top_isbns
1131,"8445071408,671621009,316769487,399135782,3404921038,966986105,1881320189,1900850303,385336772,446310786"
1140,"8445071408,399135782,3404921038,609804618,446310786,425184226,449005615,743249992,671621009,038078243X"
1343,"553347594,449005615,8445071777,964778319,446310786,60938412,440234743,8476409419,316769487,074322678X"
1376,"446310786,399135782,553347594,345417623,553582747,451208080,8445071408,451166892,441783589,8401422825"
1424,"8476409419,60976845,8445071408,446310786,61099325,1558531025,399135782,316769487,847223973X,553582747"
1435,"847223973X,074322678X,60929790,689821166,786868716,553347594,8401422825,2005018,8445071777,1881320189"
1486,"679429220,812575482,8445071408,966986105,345372700,446310786,1900850303,786868716,316769487,609804618"
1619,"786868716,847223973X,8476409419,380619458,3404921038,140067477,1569871213,380715899,446310786,399135782"
1660,"446310786,840734530,8445071408,140067477,786868716,553347594,439095026,553584383,847223973X,1881320189"
1674,"1558531025,1879384493,140067477,449005615,8445071408,609804618,786868716,446310786,964778319,375759778"
1733,"399135782,380778556,8445071408,60938412,679865691,786868716,451166892,374157065,966986105,449005615"
1797,"399135782,446310786,385336772,1879384493,3404921038,074322678X,609804618,679865691,1575663937,964778319"
1848,"446310786,399135782,8401422825,679865691,847223973X,8445071408,553347594,60168013,140067477,840734530"
1863,"671621009,1881320189,2740230,067176537X,440234743,312252617,374157065,60976845,684823802,8445071408"
1903,"60929790,786868716,847223973X,399135782,1881320189,425163091,440234743,375410538,375500766,679865691"
2087,"671621009,393045218,786868716,374157065,441783589,399135782,446601640,60973129,679865691,60929790"
2110,"8445071408,074322678X,345417623,345372700,316748641,679429220,2005018,609804618,847223973X,60914068"
2268,"446310786,8445071408,345402871,399135782,1881320189,441783589,374157065,553062042,786868716,689821166"
2276,"316769487,8445071408,1879384493,449005615,399135782,966986105,446310786,60914068,2005018,345417623"
2288,"140067477,399135782,316769487,8445071408,966986105,679865691,380778556,345372700,553347594,1881320189"
2375,"316769487,375500766,399135782,1558531025,679865691,671621009,8445071408,451208080,1569871213,61099325"
2411,"441783589,679865691,446310786,8445071408,449005615,1881320189,847223973X,8401422825,2740230,505524996"
2528,"786868716,8445071408,1881320189,385336772,441783589,074322678X,553584383,375509038,1558531025,446310786"
2630,"452264464,553347594,446310786,140067477,316769487,074322678X,1879384493,2740230,812575482,067976397X"
2766,"380778556,385336772,553583468,60168013,074322678X,847223973X,038572179X,8445071408,1879384493,60973129"
2771,"316769487,446310786,1841721522,8445071408,1569871213,441783589,452264464,140067477,1879384493,60973129"
2830,"8401422825,786868716,345372700,8445071408,446310786,966986105,553347594,840734530,140067477,399135782"
2891,"316769487,140067477,786868716,446310786,8445071408,399135782,964778319,60168013,609804618,074322678X"
2954,"074322678X,609804618,8445071408,2740230,8476409419,553347594,316769487,345372700,786868716,316748641"
2977,"446310786,449005615,385336772,8445071408,345372700,679429220,847223973X,553347594,067176537X,671621009"
3032,"3404921038,689821166,446310786,345372700,451410319,074322678X,399135782,8445071408,60938412,345425294"
3145,"316735736,316769487,399135782,684823802,380778556,8445071408,553347594,60929790,8476409419,140067477"
3154,"316769487,8445071408,1879384493,671888587,60914068,042518630X,60938412,446601640,2740230,553582747"
3329,"8445071777,316769487,374157065,2005018,1558531025,60938412,684823802,689821166,375406328,966986105"
3363,"3404921038,8445071408,446310786,2740230,1900850303,964778319,316769487,609804618,553347594,074322678X"
3373,"399135782,385336772,446310786,8445071408,1879384493,140067477,609804618,847223973X,684823802,449005615"
3427,"8445071408,140067477,446310786,449005615,8476409419,440234743,374157065,1558531025,345417623,316769487"
3542,"60929790,399135782,385336772,553583468,60938412,074322678X,2740230,1841721522,140067477,375509038"
3556,"60168013,60929790,446310786,786868716,8445071777,399135782,449005615,1881320189,380778556,553584383"
3675,"8401422825,446310786,399135782,553347594,8445071408,2005018,8476409419,3404921038,966986105,074322678X"
3761,"3404921038,8476409419,399135782,8445071408,8401422825,679865691,452264464,8445071777,140067477,553347594"
3827,"8445071408,1881320189,553347594,609804618,671621009,345372700,8476409419,966986105,380778556,399135782"
4017,"8445071408,385336772,399135782,074322678X,1900850303,8401422825,60168013,316769487,316748641,966986105"
4092,"8445071408,399135782,446310786,316769487,60168013,1569871213,2740230,684823802,439095026,451166892"
4131,"1881320189,399135782,375406328,964778319,553347594,689821166,8445071777,609804618,8445071408,1558531025"
4225,"446310786,345372700,1879384493,1558531025,553347594,2740230,8445071408,966986105,038572179X,399135782"
4243,"8445071408,380778556,966986105,140067477,8476409419,1569871213,786868716,1900850303,345417623,375509038"
4285,"446310786,312252617,345372700,425099148,966986105,399135782,1558531025,374157065,786868716,60929790"
4385,"8445071408,449005615,1879384493,609804618,684823802,446310786,399135782,966986105,1881320189,671621009"
4514,"609804618,380715899,441783589,1879384493,1900850303,1841721522,446310786,60976845,399135782,3404921038"
4556,"679429220,8445071408,609804618,8401422825,399135782,553582747,786868716,966986105,140067477,1900850303"
4571,"8445071408,1881320189,786868716,449005615,60973129,553347594,609804618,689821166,140067477,316769487"
4694,"8401422825,847223973X,446310786,345417623,375509038,553347594,1900850303,786868716,1879384493,380778556"
4781,"1558531025,8445071777,786868716,8445071408,609804618,316735736,440225701,840734530,195153448,2005018"
4784,"966986105,446310786,60929790,449005615,679865691,609804618,1881320189,1879384493,847223973X,374157065"
4794,"8401422825,425099148,60976845,074322678X,60168013,140067477,847223973X,553584383,60929790,609804618"
4821,"446310786,345372700,8445071408,345417623,840734530,671621009,1881320189,2740230,385336772,553347594"
4954,"8445071408,1879384493,3404921038,074322678X,966986105,380715899,847223973X,399135782,140067477,067176537X"
5126,"399135782,140067477,446310786,067176537X,380619458,966986105,316769487,8445071408,679865691,452264464"
5264,"425099148,553347594,316735736,553582747,345417623,8401422825,8476409419,399135782,1900850303,1881320189"
5268,"8445071408,345372700,074322678X,553347594,374157065,446310786,609804618,441783589,425099148,786868716"
5331,"316769487,385336772,966986105,446310786,074322678X,847223973X,553584383,345372700,8445071777,380715899"
5375,"316769487,553347594,1900850303,8445071408,60914068,553582747,840734530,1569871213,8401422825,2070423204"
5439,"345417623,380778556,553347594,385336772,446310786,1558531025,399135782,60168013,8445071408,1881320189"
5471,"446310786,553582747,553347594,8445071408,074322678X,1879384493,679865691,345372700,1558531025,8445071777"
5476,"553347594,1558531025,8401422825,345417623,2740230,380778556,8445071408,8476409419,399135782,074322678X"
5506,"8445071408,609804618,966986105,8401422825,449005615,399135782,345402871,786868716,451166892,451208080"
5539,"8401422825,074322678X,8445071408,553347594,842342702,440234743,385336772,044651747X,3404921038,1881320189"
5543,"8445071408,446310786,786868716,399135782,425099148,609804618,374157065,439095026,3404921038,449005615"
5555,"446310786,8445071408,399135782,067176537X,671621009,553347594,316769487,847223973X,553582747,1881320189"
5581,"316769487,446310786,60976845,312252617,60168013,553347594,966986105,140067477,449005615,345372700"
5604,"8445071408,8445071777,399135782,074322678X,140067477,679865691,345417623,440234743,553347594,446601640"
5760,"446310786,8445071408,074322678X,553347594,966986105,1900850303,1569871213,609804618,3404921038,385336772"
5815,"2005018,399135782,786868716,8445071408,446310786,966986105,440234743,440225701,1558531025,345372700"
5916,"8476409419,786868716,8445071777,60168013,553347594,452264464,60929790,966986105,446310786,964778319"
5998,"446310786,345417623,074322678X,374157065,399135782,966986105,684823802,449005615,8445071408,345372700"
6007,"1900850303,553582747,380778556,140067477,439095026,8445071408,553347594,964778319,1881320189,2740230"
6026,"786868716,446310786,399135782,316769487,553582747,1900850303,689821166,316735736,2740230,553347594"
6073,"399135782,8445071408,446310786,671621009,1900850303,316769487,449005615,2740230,380778556,439095026"
6095,"446310786,3404921038,399135782,1879384493,786868716,8445071408,1569871213,679865691,1558531025,074322678X"
6120,"446310786,8445071408,2740230,316735736,074322678X,345402871,812575482,1841721522,195153448,140067477"
6242,"8445071408,1879384493,786868716,2740230,60929790,446310786,399135782,425099148,374157065,671621009"
6251,"8445071408,439095026,1900850303,60168013,964778319,446310786,812575482,8401422825,553347594,385336772"
6254,"446310786,671621009,140067477,679429220,1558531025,8445071408,847223973X,553583468,8476409419,553347594"
6336,"074322678X,966986105,8476409419,842342702,8445071408,1900850303,140067477,446608653,374157065,609804618"
6366,"553347594,385336772,679429220,8445071408,140067477,074322678X,345372700,3404921038,553583468,1558531025"
6431,"8445071777,140067477,8445071408,786868716,847223973X,345425294,449005615,452264464,8476409419,446310786"
6501,"8445071408,449005615,553347594,380778556,60929790,446310786,375759778,425163091,609804618,399135782"
6507,"609804618,2005018,966986105,452264464,2740230,847223973X,3404921038,671867156,399135782,1841721522"
6543,"345417623,786868716,847223973X,452264464,1558531025,449005615,1900850303,8476409419,8401422825,60976845"
6563,"8445071408,8445071777,60976845,425099148,609804618,1879384493,451208080,074322678X,345417623,441783589"
6575,"8445071408,2070423204,140067477,316748641,440225701,1569871213,446310786,441783589,316769487,312252617"
6795,"8445071777,8445071408,380778556,399135782,609804618,345372700,553582747,385336772,345417623,679429220"
6866,"446310786,553347594,964778319,8445071408,399135782,449005615,316735736,451410319,140067477,2740230"
6884,"609804618,074322678X,446310786,553347594,8445071408,8445071777,038572179X,375406328,8401422825,312252617"
6906,"385336772,1879384493,8476409419,553582747,8445071777,3404921038,553583468,609804618,042518630X,446310786"
6910,"553347594,60929790,452264464,074322678X,446310786,374157065,316769487,1879384493,140067477,451166892"
7082,"441783589,449005615,446310786,3404921038,399135782,609804618,8476409419,1881320189,8445071408,385336772"
7105,"8445071408,553347594,3404921038,140067477,671621009,385336772,446310786,786868716,847223973X,553582747"
7125,"1900850303,60938412,553347594,609804618,553582747,8445071408,966986105,60973129,345465083,446310786"
7158,"1881320189,374157065,385336772,8476409419,8445071408,452264464,446310786,1569871213,812575482,316735736"
7210,"684823802,609804618,1569871213,399135782,446310786,385336772,449005615,345402871,553347594,60168013"
7283,"074322678X,842342702,399135782,1879384493,2740230,1881320189,393045218,345372700,553582747,1569871213"
7286,"8445071408,2740230,451410319,553583468,345417623,446310786,316769487,345372700,964778319,60914068"
7318,"679865691,1881320189,345417623,425099148,8401422825,553347594,375509038,3404921038,679429220,671621009"
7338,"385336772,8445071408,399135782,446310786,847223973X,1879384493,380778556,345417623,553582747,689821166"
7346,"399135782,8445071408,553347594,452264464,140067477,553582747,374157065,671621009,847223973X,60168013"
7352,"446310786,553347594,140067477,399135782,080652121X,812575482,380778556,380619458,3404921038,847223973X"
7364,"1558531025,8445071408,679865691,375509038,684823802,679429220,446310786,316748641,689821166,786868716"
7409,"8445071408,399135782,966986105,689821166,1841721522,609804618,679429220,8401422825,385336772,684823802"
7426,"1879384493,964778319,345372700,140067477,553347594,60168013,684823802,1881320189,842342702,345417623"
7515,"8445071408,1569871213,446310786,440949424,1900850303,553347594,679429220,8476409419,451410319,375406328"
7651,"8445071408,080652121X,345417623,840734530,1841721522,689821166,1879384493,440234743,671621009,61099325"
7809,"966986105,8476409419,553347594,8445071408,8445071777,812575482,446310786,374157065,425099148,786868716"
7841,"8445071408,449005615,1558531025,786868716,1879384493,446310786,964778319,553347594,345417623,385336772"
7860,"1881320189,60973129,8445071777,374157065,679429220,399135782,786868716,1558531025,8445071408,425099148"
7864,"1881320189,140067477,425099148,446310786,847223973X,1569871213,3404921038,8445071408,671867156,440234743"
7904,"345372700,1881320189,553582747,786868716,1879384493,380778556,316735736,375410538,452264464,399135782"
7913,"8445071408,3404921038,1879384493,847223973X,345417623,60168013,553347594,2740230,1569871213,316769487"
7915,"553347594,1569871213,446310786,8445071408,60168013,399135782,609804618,1879384493,966986105,374157065"
7958,"399135782,446310786,345417623,374157065,316769487,553347594,8445071408,609804618,067176537X,8401422825"
8019,"1900850303,8445071408,8445071777,8476409419,425099148,316769487,840734530,451410319,842342702,966986105"
8066,"446310786,8445071408,553347594,452264464,8445071777,316769487,375406328,8401422825,966986105,380715899"
8067,"609804618,195153448,446310786,8445071408,8401422825,399135782,345372700,679865691,067976397X,345417623"
8115,"786868716,553347594,312252617,609804618,8445071408,385336772,316769487,2005018,60976845,440234743"
8185,"380778556,375500766,316769487,441783589,380619458,786868716,8445071408,399135782,316735736,074322678X"
8245,"8445071408,449005615,316735736,446310786,671621009,679429220,2005018,60929790,679865691,140067477"
8248,"446310786,1881320189,3404921038,399135782,074322678X,345417623,8445071408,553347594,8445071777,671621009"
8253,"671867156,8445071408,345372700,316735736,679865691,399135782,553347594,425099148,439095026,1841721522"
8317,"452264464,8445071777,964778319,074322678X,679865691,8445071408,553347594,451166892,380778556,3404921038"
8361,"140067477,8476409419,074322678X,60976845,689821166,3404921038,8445071408,786868716,375410538,679810307"
8362,"8445071408,440234743,1900850303,449005615,8401422825,1841721522,399135782,345417623,451410319,2005018"
8453,"553347594,786868716,8445071408,3404921038,451410319,60973129,380778556,140067477,553584383,446310786"
8454,"446310786,8445071408,425099148,847223973X,609804618,8445071777,385336772,553582747,316769487,1881320189"
8487,"446310786,316769487,399135782,8401422825,840734530,345465083,966986105,345372700,375759778,8445071777"
8509,"786868716,385336772,345417623,441783589,316769487,61076031,8445071408,553347594,439095026,8401422825"
8529,"385336772,451208080,399135782,8445071777,8445071408,425099148,3404921038,1881320189,345372700,446310786"
8570,"399135782,8445071408,1881320189,8445071777,553347594,074322678X,679865691,1569871213,374157065,441783589"
8660,"449005615,446310786,2740230,847223973X,399135782,553583468,679865691,1881320189,609804618,1558531025"
8674,"553347594,1558531025,345372700,8445071777,1881320189,399135782,446310786,2740230,451208080,316769487"
8681,"316769487,1879384493,8401422825,679865691,446310786,609804618,684823802,786868716,399135782,375509038"
8682,"3404921038,446310786,1879384493,966986105,609804618,964778319,425184226,679865691,449005615,553347594"
8685,"446310786,786868716,60938412,8445071408,847223973X,8401422825,671621009,553582747,345372700,449005615"
8720,"380778556,1569871213,786868716,1879384493,074322678X,8476409419,375500766,375509038,609804618,316748641"
8782,"553347594,385336772,316769487,3404921038,1558531025,1569871213,345372700,8445071408,140067477,074322678X"
8801,"446310786,8445071408,399135782,60168013,8445071777,345372700,3404921038,1900850303,449005615,8401422825"
8864,"847223973X,316769487,8445071408,425099148,446310786,345417623,449005615,553347594,074322678X,1879384493"
8870,"8445071408,8476409419,316769487,553347594,553583468,671888587,425163091,380778556,966986105,345417623"
8936,"385336772,399135782,553347594,671621009,8445071408,074322678X,786868716,1881320189,3404921038,1569871213"
8971,"1569871213,446310786,8445071408,679865691,074322678X,1558531025,2005018,380619458,553347594,067976397X"
9080,"345372700,8445071408,786868716,1900850303,671867156,074322678X,679865691,553347594,316769487,847223973X"
9094,"8445071408,60168013,671621009,679865691,553347594,451410319,8476409419,1900850303,1903019699,345372700"
9138,"609804618,553347594,345417623,8476409419,840734530,074322678X,380778556,316769487,345465083,399135782"
9224,"847223973X,553584383,3404921038,553347594,399135782,8445071408,1879384493,786868716,840734530,380619458"
9227,"786868716,8445071408,452264464,399135782,61099686,2740230,074322678X,441783589,1558531025,553584383"
9260,"451410319,8445071408,553347594,375509038,380778556,440949424,399135782,1558531025,840734530,812575482"
9290,"8445071408,553583468,689821166,399135782,446310786,1881320189,374157065,074322678X,312252617,2005018"
9354,"8401422825,689821166,375500766,553584383,3404921038,1558531025,446310786,60973129,316769487,380715899"
9381,"8445071408,964778319,840734530,847223973X,553347594,8401422825,3404921038,60929790,380778556,385336772"
9391,"1879384493,966986105,345417623,1569871213,679865691,8445071408,679429220,8401422825,316769487,8445071777"
9414,"8445071408,345417623,8401422825,1558531025,8445071777,847223973X,743249992,375509038,345372700,609804618"
9417,"8401422825,399135782,385336772,847223973X,2740230,316769487,2005018,840734530,374157065,451208080"
9419,"553347594,1558531025,609804618,1569871213,1900850303,449005615,345417623,451406923,399135782,385336772"
9571,"074322678X,553347594,1900850303,786868716,964778319,345372700,399135782,446310786,8401422825,316735736"
9642,"8445071408,8445071777,553582747,345372700,966986105,446310786,8401422825,399135782,1881320189,8476409419"
9652,"966986105,8445071408,786868716,1900850303,074322678X,374157065,380778556,8401422825,689821166,345417623"
9660,"60938412,345402871,8401422825,1558531025,609804618,553347594,966986105,671621009,840734530,345372700"
9747,"553582747,3404921038,316769487,553347594,449005615,399135782,1569871213,1881320189,8401422825,964778319"
9856,"446310786,847223973X,345417623,449005615,399135782,786868716,451166892,8445071408,451410319,8401422825"
9908,"399135782,446310786,964778319,440234743,8476409419,2005018,671621009,786868716,553582747,3404921038"
9979,"446310786,966986105,671621009,440234743,140067477,812575482,345417623,609804618,60929790,1881320189"
10030,"8445071408,446310786,609804618,2005018,345372700,140067477,1879384493,380778556,786868716,553582747"
10118,"399135782,553347594,451410319,60914068,2740230,553582747,316748641,316769487,1879384493,847223973X"
10134,"446310786,8445071408,399135782,380778556,449005615,8401422825,440949424,345465083,1881320189,786868716"
10215,"399135782,374157065,449005615,446310786,1900850303,3404921038,8401422825,8445071408,074322678X,316735736"
10314,"1881320189,451410319,316769487,449005615,446310786,1569871213,553347594,684823802,385336772,8445071777"
10338,"446310786,380778556,847223973X,399135782,385336772,345372700,345417623,8401422825,786868716,2740230"
10447,"8445071408,140067477,446310786,452264464,425099148,689821166,399135782,553582747,553347594,1879384493"
10470,"8445071408,671621009,452264464,8401422825,609804618,140067477,684823802,3404921038,8445071777,1569871213"
10494,"8445071408,074322678X,679865691,399135782,553347594,1558531025,345372700,1569871213,140067477,1879384493"
10532,"689821166,449005615,60929790,786868716,671867156,3404921038,446310786,345417623,316769487,8445071408"
10570,"399135782,441783589,8445071408,8476409419,1900850303,316769487,553583468,966986105,446310786,609804618"
10590,"1881320189,964778319,316748641,786868716,1879384493,8445071408,1558531025,60929790,140067477,345372700"
10596,"3404921038,316769487,399135782,553582747,553347594,840734530,609804618,375406328,679865691,60929790"
10607,"8445071408,1558531025,345417623,425099148,451410319,2740230,847223973X,8445071777,1879384493,60929790"
10649,"140067477,446310786,966986105,399135782,316769487,8445071408,345372700,847223973X,380715899,374157065"
10730,"8445071408,609804618,446310786,8401422825,452264464,316735736,425099148,60914068,345417623,451166892"
10819,"8445071408,847223973X,345372700,449005615,60929790,1881320189,8401422825,964778319,1900850303,609804618"
10959,"8445071408,380778556,553347594,609804618,8445071777,1881320189,385336772,689821166,786868716,679429220"
11104,"8445071408,385336772,440949424,446310786,8476409419,1879384493,553582747,374157065,067976397X,375509038"
11120,"8445071408,1558531025,446310786,1569871213,1879384493,553582747,8401422825,684823802,966986105,812575482"
11224,"375406328,8445071408,679865691,316735736,345372700,140067477,8476409419,380778556,446310786,441783589"
11245,"446310786,316769487,1881320189,425099148,840734530,2005018,60929790,345372700,140067477,399135782"
11400,"679865691,8445071408,312252617,1879384493,399135782,679429220,966986105,964778319,609804618,8401422825"
11451,"8445071408,446310786,399135782,966986105,553347594,8401422825,1879384493,451410319,439095026,671621009"
11507,"8445071408,3404921038,345402871,8445071777,399135782,847223973X,345372700,60929790,449005615,345417623"
11554,"8445071408,2005018,374157065,074322678X,425163091,441783589,316769487,449005615,679865691,385336772"
11601,"609804618,8445071408,1841721522,8476409419,786868716,452264464,385336772,380778556,8401422825,60938412"
11629,"8445071408,380778556,446310786,8476409419,847223973X,399135782,8445071777,966986105,1879384493,375759778"
11648,"446310786,786868716,8476409419,441783589,60929790,375509038,553347594,380778556,553582747,840734530"
11676,"786868716,812575482,8445071408,8445071777,2740230,375500766,067176537X,440949424,8476409419,451410319"
11690,"8445071777,140067477,074322678X,2005018,8445071408,1881320189,345372700,60168013,399135782,1879384493"
11724,"8445071408,446310786,847223973X,1900850303,425099148,60168013,399135782,553347594,380778556,840734530"
11768,"8445071408,446310786,553347594,316769487,847223973X,1558531025,1879384493,345417623,451166892,345465083"
11808,"786868716,8445071408,60973129,964778319,399135782,966986105,446310786,345402871,8476409419,425176428"
11832,"345372700,074322678X,8476409419,964778319,8445071777,8401422825,316769487,553347594,679865691,609804618"
11944,"786868716,1558531025,441783589,140067477,689821166,8401422825,446310786,553347594,8476409419,8445071408"
11993,"8445071408,375509038,671621009,446310786,679429220,316769487,345372700,689821166,8445071777,553347594"
12149,"074322678X,553584383,8445071408,399135782,425163091,1558531025,425176428,316769487,452264464,671867156"
12154,"446310786,8445071408,2740230,380778556,449005615,345372700,399135782,553583468,609804618,1881320189"
